p_val avg_logFC pct.1 pct.2 p_val_adj
SMED30017989 2.48101805310692e-35 -0.135958172570094 0.092 0.216 5.43789536879974e-31
SMED30014307 4.03768851672394e-35 0.246847602879871 0.474 0.323 8.84980569095554e-31
SMED30010171 1.16800658896531e-34 0.231513120894158 0.831 0.787 2.56003684169417e-30
SMED30014939 2.13974187274886e-34 0.122192998902599 0.191 0.074 4.68988623669096e-30
SMED30002501 5.57552652578994e-33 0.0585663639381661 0.068 0.005 1.22204390392264e-28
SMED30019975 9.57195819226602e-33 0.20565548261859 0.617 0.481 2.09798179658087e-28
SMED30022837 5.99153490989005e-32 0.0734796733005127 0.084 0.013 1.3132246215497e-27
SMED30001819 7.22297534004483e-32 0.0735257272607707 0.083 0.013 1.58313173503103e-27
SMED30017175 1.08176790477035e-31 0.177891755446156 0.361 0.215 2.37101889367566e-27
SMED30010024 1.28848891066539e-31 0.0700913190318605 0.056 0.001 2.82410999439641e-27
SMED30023761 6.20295223262331e-31 0.263501722239514 0.267 0.142 1.35956307034638e-26
SMED30009120 7.095301805033e-31 -0.17967902667469 0.166 0.301 1.55514824962713e-26
SMED30025868 9.44254923041252e-31 0.237566334793494 0.503 0.355 2.06961794032182e-26
SMED30019696 1.2809439806099e-30 0.111905132568521 0.125 0.036 2.80757301670077e-26
SMED30027500 3.19595542505626e-30 0.72469129758524 0.12 0.034 7.00489510063831e-26
SMED30014530 3.49145454814231e-30 -0.190509506012256 0.292 0.436 7.65257007861831e-26
SMED30008675 2.08365249952598e-29 0.150220533311009 0.351 0.207 4.56694954846105e-25
SMED30014114 3.07816639538523e-29 0.115412848105864 0.155 0.058 6.74672510540534e-25
SMED30015942 3.79329601790164e-29 0.211943658758159 0.817 0.767 8.31414621203682e-25
SMED30029458 4.90766685078907e-29 0.146214771136562 0.095 0.022 1.07566242035595e-24
SMED30019874 6.18668719784344e-29 -0.29784986878083 0.573 0.676 1.35599810002332e-24
SMED30028672 7.90931274113619e-29 0.0776270829653541 0.1 0.024 1.73356316660223e-24
SMED30002257 1.59202254051056e-28 0.163907734256551 0.515 0.368 3.48939500429106e-24
