p_val avg_logFC pct.1 pct.2 p_val_adj
SMED30010375 8.31734522891415e-110 0.161968152032409 0.999 0.999 1.8229957272734e-105
SMED30024698 3.41386345144542e-108 0.273335436087877 0.528 0.336 7.48250591287807e-104
SMED30026267 8.74165621282989e-107 0.929385600515352 0.106 0.011 1.91599620872805e-102
SMED30027552 1.40686468663294e-106 0.114100973704393 0.093 0.006 3.08356602016208e-102
SMED30029458 4.18267481078029e-105 0.124188527285507 0.128 0.022 9.16758665026825e-101
SMED30015557 2.12816522379581e-104 0.138454503966798 0.144 0.031 4.66451253751566e-100
SMED30030034 3.71669439834526e-104 -0.337933146919815 0.507 0.634 8.14625078229314e-100
SMED30008523 6.8030276818985e-104 0.205178454499689 0.176 0.05 1.49108760731851e-99
SMED30018158 1.70681934167449e-103 0.123632203500394 0.115 0.016 3.74100663308215e-99
SMED30029468 4.34941404197719e-102 0.102418824303927 0.08 0.002 9.5330456972056e-98
SMED30019754 7.29444197401844e-102 -0.245789356258281 0.273 0.46 1.59879579186536e-97
SMED30016871 2.25430383304791e-100 0.12167464868006 0.095 0.008 4.94098314127441e-96
SMED30016668 6.61422215253038e-100 0.216669542265449 0.296 0.134 1.44970521139161e-95
SMED30020813 5.75554045402246e-99 -0.217570132395204 0.192 0.37 1.26149935671264e-94
SMED30029899 5.40438475321381e-98 -0.136727140196304 0.996 0.997 1.1845330502094e-93
SMED30035193 6.14895716397735e-98 -0.228286465951872 0.996 0.996 1.34772843120056e-93
SMED30018534 3.7003279562948e-97 0.24858705629881 0.469 0.297 8.11037881460694e-93
SMED30015343 1.70031063365033e-95 0.0812304031201632 0.069 0 3.7267408468348e-91
SMED30035045 2.00224515462578e-95 0.225152338303507 0.916 0.862 4.38852092990877e-91
SMED30024095 1.01397324462874e-94 -0.247150508325646 0.351 0.529 2.22242655757726e-90
SMED30012923 1.24119185196053e-94 0.126882016429036 0.125 0.024 2.72044430112709e-90
SMED30015411 2.63958490424721e-93 -0.257694776699696 0.23 0.398 5.78544219312904e-89
SMED30017717 2.64346105444985e-92 -0.238714647955452 0.646 0.766 5.79393793914318e-88
SMED30027307 5.26468173128127e-92 0.236156356223024 0.181 0.345 1.15391294186223e-87
SMED30008675 1.55221609021049e-91 0.222830152391185 0.404 0.231 3.40214722652335e-87
SMED30014462 3.99403450670178e-91 0.215004162974901 0.265 0.119 8.75412483178897e-87
SMED30012836 7.24052311324197e-89 0.27001351548071 0.453 0.288 1.58697785596038e-84
SMED30019874 1.48514540322041e-88 -0.247986517701671 0.46 0.626 3.25514169477849e-84
SMED30035950 2.83846194803998e-88 0.0914275034484759 0.076 0.004 6.22134089771402e-84
SMED30013135 7.50603012032147e-88 0.239249931246239 0.451 0.281 1.64517168177206e-83
SMED30002257 1.17102886137151e-87 0.240262481002986 0.549 0.383 2.56666105835407e-83
SMED30024756 1.34543746179954e-87 0.246138482415314 0.809 0.714 2.94892982877223e-83
SMED30007950 2.28549927251509e-87 0.209809968654525 0.42 0.249 5.00935730549857e-83
SMED30024329 1.55004111822538e-86 0.172883936510391 0.262 0.118 3.39738012292638e-82
SMED30017989 1.00990242950304e-83 -0.160808988638768 0.09 0.226 2.21350414498476e-79
SMED30015300 2.94655501411975e-83 0.231105691667085 0.834 0.747 6.45825927994766e-79
SMED30002076 3.89106384963907e-83 0.212281609773328 0.929 0.891 8.52843374563891e-79
SMED30025868 4.34287530348687e-83 0.28981200192046 0.53 0.377 9.51871409018252e-79
SMED30029971 1.43956494347521e-82 0.23790687560807 0.625 0.477 3.15523844310896e-78
SMED30011202 7.99987713681299e-82 0.193549949932841 0.298 0.152 1.75341307084667e-77
SMED30013229 4.13141433826534e-80 0.0768059025573629 0.07 0.004 9.05523394660996e-76
SMED30026619 7.2320242424276e-80 -0.210387725593818 0.187 0.342 1.58511507345528e-75
SMED30021583 1.63774533902555e-79 0.107743443992212 0.107 0.021 3.58961023407621e-75
SMED30007096 8.92965499592317e-79 -0.205734547383836 0.199 0.358 1.95720178200644e-74
SMED30015588 3.74868537829008e-78 0.260490833803745 0.52 0.37 8.2163686121362e-74
SMED30032349 5.00229069551964e-78 -0.147485595185134 0.094 0.227 1.096402074644e-73
SMED30034381 5.49315151994254e-78 -0.255426538731 0.79 0.845 1.20398895014101e-73
SMED30026210 2.45136926894243e-77 0.111227509509714 0.136 0.038 5.37291116366802e-73
SMED30019959 2.703569885792e-77 0.102244640027448 0.999 1 5.92568447567892e-73
SMED30004566 1.01619516986806e-75 -0.22829507179528 0.207 0.358 2.22729657331681e-71
SMED30023243 3.64715098474167e-75 -0.213898016990821 0.647 0.751 7.99382552835679e-71
SMED30010443 4.16285883401994e-75 -0.229951612047656 0.398 0.544 9.1241539924049e-71
SMED30018637 4.92635619789894e-75 -0.145315845521548 0.998 0.999 1.07975875145549e-70
SMED30035746 9.03419875091707e-75 -0.219259109584788 0.288 0.444 1.980115682226e-70
SMED30001801 4.20875246655511e-74 -0.219624056212161 0.708 0.781 9.22474365619549e-70
SMED30002377 7.09346843109146e-74 0.0821372811569175 0.064 0.004 1.55474641072663e-69
SMED30021622 1.20918489809081e-73 0.195556068674167 0.952 0.915 2.65029145963545e-69
SMED30009873 2.50920132781591e-73 0.792777098395429 0.093 0.017 5.49966747030691e-69
