p_val avg_logFC pct.1 pct.2 p_val_adj
SMED30024095 3.41621716320485e-70 -0.209593659321568 0.252 0.391 7.48766477831238e-66
SMED30009120 4.26146070934596e-70 -0.199326188786252 0.196 0.336 9.34026958274447e-66
SMED30011012 1.13800548099231e-69 0.588847990963618 0.081 0.014 2.49428041323895e-65
SMED30001801 6.40131497682795e-69 -0.2182828223516 0.638 0.707 1.40304021662115e-64
SMED30031835 6.49107562155333e-69 0.131706571367748 0.183 0.078 1.42271395473206e-64
SMED30001234 9.18400339808617e-68 0.208441816506191 0.376 0.251 2.01294986479253e-63
SMED30006356 4.21220655899902e-66 0.168887598985195 0.286 0.165 9.23231433601405e-62
SMED30001546 1.15610056889483e-64 -0.192390770761187 0.861 0.886 2.53394122690368e-60
SMED30014794 4.06919482260985e-64 -0.169308547579355 0.23 0.363 8.91886121219627e-60
SMED30025868 4.93203152719753e-62 0.253681112379252 0.487 0.358 1.08100267013115e-57
SMED30012836 2.8160676082754e-61 0.250977247215487 0.463 0.342 6.17225698381803e-57
SMED30027121 1.42500768785684e-58 0.150470745911251 0.24 0.131 3.12333185024461e-54
SMED30021267 1.46407897115939e-58 0.162118721393829 0.231 0.124 3.20896828898715e-54
SMED30018534 2.21231559071108e-58 0.138349648059428 0.21 0.108 4.84895331172054e-54
SMED30002501 4.40460321963549e-58 0.0579941796255888 0.05 0.004 9.65400933679706e-54
SMED30020813 2.81204127614023e-57 -0.143337283957502 0.182 0.297 6.16343206904416e-53
SMED30003530 4.02201587761414e-57 0.0942742581062551 0.079 0.018 8.81545440055466e-53
SMED30012923 7.23246520570097e-57 0.101914294656599 0.1 0.031 1.58521172378554e-52
SMED30029179 8.9395347162075e-57 0.286877904573898 0.634 0.535 1.95936721909836e-52
SMED30031236 3.01758890803189e-56 -0.110757257160314 0.08 0.172 6.6139513686243e-52
SMED30011307 4.59865794201867e-56 1.0346786229066 0.053 0.006 1.00793384773165e-51
SMED30024698 1.49054891815686e-55 0.207469547092565 0.568 0.447 3.2669851188162e-51
SMED30026547 1.67104746163484e-55 0.0964367185534616 0.11 0.038 3.66260182641124e-51
SMED30007869 2.05443583527841e-55 0.17341306355807 0.222 0.119 4.50291246376321e-51
SMED30031065 6.61631364795298e-55 -0.17854088485884 0.544 0.656 1.45016362535833e-50
SMED30029899 1.24114446191243e-54 -0.117256680816163 0.976 0.98 2.72034043161967e-50
SMED30011723 7.92528104477267e-54 -0.12971239102458 0.138 0.245 1.73706309939328e-49
SMED30018158 1.69853337610549e-53 0.072794544015048 0.064 0.012 3.72284545374801e-49
SMED30035603 1.75301482005279e-52 0.119044726313962 0.133 0.055 3.84225788259171e-48
SMED30018686 2.83395229175779e-52 0.35108849365158 0.09 0.027 6.21145663307472e-48
SMED30008048 4.03226522877825e-52 0.139334452779895 0.941 0.926 8.83791892843617e-48
SMED30026819 6.473173286732e-52 0.0704205455840861 0.07 0.015 1.41879012098592e-47
SMED30032349 6.51485430157006e-52 -0.113326013766423 0.096 0.189 1.42792576581813e-47
SMED30023808 1.38699975207257e-51 0.143192496265801 0.224 0.125 3.04002605659267e-47
SMED30027627 2.46674365351108e-51 0.0818232344120621 0.074 0.018 5.40660873976559e-47
SMED30031729 9.78274617088977e-51 0.0520161165394418 0.035 0 2.14418230573562e-46
SMED30021696 1.57885647294962e-50 0.153776966581918 0.332 0.217 3.46053761741097e-46
SMED30025935 1.80062549010862e-50 0.0451764814535412 0.041 0.002 3.94661094922008e-46
SMED30026267 2.41905823734571e-50 0.441247689899258 0.089 0.027 5.30209184461432e-46
SMED30029571 2.83077316066284e-50 -0.162806935488805 0.24 0.366 6.20448861354081e-46
SMED30000129 7.11667024915375e-50 0.0303997725466282 0.099 0.032 1.55983178520952e-45
SMED30018637 2.77235814851711e-49 -0.125947207005275 0.988 0.991 6.07645458991979e-45
SMED30035906 1.56764106052497e-48 -0.145077816234988 0.179 0.292 3.43595567645864e-44
SMED30026182 4.88219592296108e-48 -0.173925282426291 0.214 0.327 1.07007970239461e-43
SMED30017989 5.24804022581407e-48 -0.0949621098775733 0.089 0.176 1.15026545669393e-43
SMED30030842 8.02966801332584e-48 -0.169487132907398 0.122 0.218 1.75994263516076e-43
SMED30019886 9.93347510489927e-48 0.215515956347489 0.502 0.391 2.17721907349182e-43
SMED30002324 1.14366464419808e-47 0.249466504091215 0.471 0.365 2.50668416715335e-43
SMED30028672 4.50683706074463e-47 0.0769955268351536 0.074 0.02 9.87808546974008e-43
SMED30011202 3.4659933316939e-46 0.137293163176024 0.281 0.18 7.59676418440669e-42
SMED30007772 1.86424672003933e-45 -0.144719664787619 0.188 0.296 4.08605596098219e-41
