Sample	0h	6h	3d	7d	11d
SMED30008655	5.41566	5.51644	4.18938	3.75855	3.9332
SMED30008660	10.0239	11.2117	14.2682	16.3199	16.4347
SMED30008665	14.3492	22.0385	28.8116	30.0563	25.2255
SMED30008671	9.07505	10.1661	11.3929	14.9924	13.6447
SMED30008682	8.09319	9.10255	14.4448	11.7674	10.4625
SMED30008684	8.16152	8.11484	7.91901	11.7163	8.91463
SMED30008689	8.74451	8.25002	7.64772	6.00369	6.55524
SMED30008692	4.80937	5.17865	4.92714	6.40301	5.52941
SMED30008699	22.0454	9.81428	17.5397	14.6689	16.8943
SMED30008716	6.71208	6.73117	5.93643	7.09035	5.96533
SMED30008718	23.381	21.29	28.4748	39.9903	29.8827
SMED30008720	6.73408	7.66759	8.44108	6.48129	6.43821
SMED30008732	3.74233	3.46486	3.66164	3.67103	3.86755
SMED30008748	9.6905	8.93197	8.56574	12.1512	9.84262
SMED30008751	15.3419	22.9537	24.4747	24.4591	20.586
SMED30008752	35.6941	24.4462	21.7161	28.9979	33.7478
SMED30008761	5.31014	4.57724	5.50451	7.12138	6.39278
SMED30008781	16.1761	18.185	19.8256	26.7619	21.1581
SMED30008785	4.03539	3.87362	4.60325	4.78967	7.63509
SMED30008787	30.1688	28.006	32.6884	53.5022	59.7547
SMED30008797	8.35552	8.03582	7.99888	8.81661	7.70256
SMED30008806	18.8238	16.8404	14.8256	17.1491	17.316
SMED30008812	5.70737	5.55177	6.36062	8.2208	7.17488
SMED30008828	4.9122	4.92301	5.51965	5.25201	4.4252
SMED30008829	2.66467	3.23841	3.74261	4.32155	4.39283
SMED30008833	7.00587	33.4328	23.8687	44.9411	40.2261
SMED30008835	3.64814	3.91819	4.04125	3.48347	3.33366
SMED30008838	4.22563	3.28345	3.21047	4.12424	3.62198
SMED30008839	6.28372	4.04387	3.38632	5.99368	3.86421
SMED30008854	16.4693	16.6787	26.3612	20.2587	21.0815
SMED30008855	9.84348	11.2558	13.798	17.2289	15.31
SMED30008856	6.14489	7.51852	6.42589	6.63287	6.59944
SMED30008866	15.2269	14.8665	14.631	17.8473	19.1521
SMED30008868	9.23638	10.1288	10.6186	14.453	11.7197
SMED30008882	13.0228	14.4539	18.2401	16.7778	16.8023
SMED30008887	24.3411	43.7271	14.0709	42.6188	35.2253
SMED30008892	12.99	16.0399	20.4259	19.1162	12.5033
SMED30008893	9.05896	8.15153	11.6503	12.8885	8.10267
SMED30008898	9.1856	8.93486	10.2825	9.20704	8.79927
SMED30008902	3.48653	3.80569	4.02255	2.94955	3.19131
SMED30008904	8.60971	10.642	12.1878	15.0606	15.6899
SMED30008905	5.34984	4.38389	4.94986	6.91796	5.80954
SMED30008915	5.76277	7.07895	9.97468	6.80882	8.49907
SMED30008916	5.85589	4.25879	4.01041	5.37156	5.00436
SMED30008917	7.52238	5.94258	5.81916	5.90845	5.95797
SMED30008931	17.389	15.2629	15.7797	27.9338	26.2914
SMED30008943	4.47635	4.5158	4.86524	4.10578	4.18079
SMED30008950	8.08169	8.77944	10.2874	10.1229	9.47425
SMED30008954	15.4662	15.5294	18.9506	23.9345	18.083
SMED30008964	16.9159	19.755	22.9365	24.2029	20.7506
SMED30008965	5.37985	5.32013	8.01632	9.54026	12.4934
SMED30008973	6.76248	11.1562	16.8733	14.196	13.5251
SMED30008978	10.2775	11.1247	12.5312	18.782	13.4361
SMED30008984	41.454	34.7438	35.9175	35.8141	30.9873
SMED30008989	6.17423	5.68123	6.72723	6.0739	5.85392
SMED30008994	9.97184	8.53169	10.6395	15.347	12.4989
SMED30008998	11.1173	11.2231	12.2062	12.3348	12.1572
SMED30009014	3.83245	4.50941	3.65492	3.21044	3.95681
SMED30009017	12.0262	21.3601	22.741	21.4787	26.4472
SMED30009026	6.03342	5.63955	6.88661	6.73018	6.82274
SMED30009029	4.56668	4.55814	5.39085	6.24416	6.11614
SMED30009033	4.77275	5.2395	5.13902	6.10518	5.17389
SMED30009035	6.0829	10.4651	10.9684	6.82977	9.25515
SMED30009038	6.30902	7.18849	5.74028	5.74469	7.30417
SMED30009045	19.4675	16.4994	19.1858	23.122	18.1139
SMED30009048	29.4168	37.2946	50.1454	115.595	63.4607
SMED30009066	14.2219	16.0198	14.6669	19.8799	17.7121
SMED30009073	11.3048	11.041	13.1641	13.5169	11.8175
SMED30009079	26.3267	28.3381	35.1031	33.058	38.2186
SMED30009084	9.01979	8.88503	10.0321	7.86222	11.3048
SMED30009094	4.84936	9.56385	9.87306	14.3259	7.45342
SMED30009104	8.54575	8.38611	9.79654	17.5068	12.8801
SMED30009105	13.876	13.3513	15.6278	13.7545	12.7591
SMED30009106	4.28673	4.49049	5.08003	7.25337	6.11768
SMED30009112	6.55839	11.214	15.0827	17.1855	15.7821
SMED30009115	7.91337	17.8149	20.6053	18.0811	15.7488
SMED30009119	2.83221	2.77078	2.25392	5.40775	2.48728
SMED30009120	7.82497	8.58497	9.38697	10.563	9.0601
SMED30009124	7.3673	6.99299	6.34894	10.3558	7.53023
SMED30009129	10.3191	9.85511	12.15	14.2676	12.5586
SMED30009131	9.27591	12.4422	12.9108	14.9678	14.2873
SMED30009133	10.2124	9.98033	11.0918	19.9142	16.9169
SMED30009134	4.02764	3.96998	4.07527	6.28445	5.35679
SMED30009142	4.08772	4.93824	4.69001	5.74426	4.43892
SMED30009143	6.17755	8.25481	10.3976	11.3716	10.2299
SMED30009144	6.7157	7.42292	7.48682	7.94314	5.88754
SMED30009148	39.4848	47.5908	53.5246	49.8664	52.4281
SMED30009149	6.52492	6.49682	6.63642	8.2635	7.73364
SMED30009156	2.95148	3.04794	3.28999	4.051	3.6419
SMED30009172	12.9454	12.8554	11.8856	13.9075	11.7647
SMED30009173	5.20233	5.21919	6.19811	4.39764	4.60581
SMED30009177	16.8978	41.0111	24.612	32.1171	43.1696
SMED30009181	10.9979	11.2823	14.0536	17.1057	14.6626
SMED30009184	3.81688	5.16475	5.1207	5.89678	4.42784
SMED30009188	2.84786	3.00859	3.38301	3.81648	3.75474
SMED30009189	9.11319	10.5109	12.0106	11.9076	10.1574
SMED30009191	6.17837	6.11563	8.08577	11.2047	8.1695
SMED30009199	7.19816	9.52726	10.9523	11.6696	10.2397
SMED30009201	13.6082	10.906	11.769	15.3469	11.9857
SMED30009204	3.97639	10.5008	8.80552	9.08344	9.71979
SMED30009212	6.62868	5.96336	7.54066	7.75157	7.24768
SMED30009218	7.05025	5.53259	5.28016	5.80326	5.18395
SMED30009230	20.0447	20.8055	22.3222	17.9484	23.4293
SMED30009232	4.2921	11.171	6.04195	9.8007	11.232
SMED30009236	6.11145	6.29215	7.4452	7.67151	6.35425
SMED30009242	9.8887	13.6479	12.0112	13.1338	12.3851
SMED30009247	5.49889	5.9723	8.47367	7.98989	9.44366
SMED30009248	7.39122	7.27557	7.93306	7.16897	8.59437
SMED30009252	2.97644	3.00334	3.11918	2.48339	2.8263
SMED30009255	6.838	6.64919	6.82038	6.30462	5.74895
SMED30009274	3.84744	4.74474	4.47467	4.34532	5.19149
SMED30009277	23.571	39.3819	38.6619	47.1541	40.3166
SMED30009279	8.51226	8.96636	12.5056	12.2146	7.77304
SMED30009282	11.0132	13.9351	21.0666	19.3735	18.231
SMED30009287	5.69652	5.45099	4.89048	6.16921	5.72241
SMED30009295	8.56401	9.24086	11.4121	13.617	14.0769
SMED30009301	12.2797	20.4524	12.4283	10.8159	11.0266
SMED30009316	16.5677	29.1947	27.538	26.3604	29.4065
SMED30009318	9.97728	11.1716	13.1921	21.4445	25.2296
SMED30009327	28.4297	30.5565	39.5528	47.6814	45.5259
SMED30009339	9.0568	10.4372	10.8736	13.5943	12.7054
SMED30009340	10.6619	9.03634	12.3904	11.5921	10.5043
SMED30009348	5.32164	5.21701	4.99891	4.29938	4.63972
SMED30009349	16.592	17.4309	19.4234	22.1798	3.54066
SMED30009355	6.31447	6.2329	6.80508	6.64058	6.77712
SMED30009356	12.4437	10.9243	12.9739	13.5923	12.9243
SMED30009358	9.92794	19.8218	25.0936	20.965	23.8406
SMED30009362	6.40753	7.05885	7.48454	8.12639	8.49203
SMED30009368	4.0826	3.76286	4.75226	5.16675	3.57433
SMED30009383	5.77212	9.07016	7.17777	5.47293	8.48674
SMED30009384	15.578	22.0693	16.7116	19.7241	13.864
SMED30009385	12.1192	10.3558	11.0853	13.3881	11.5222
SMED30009401	5.02235	4.66011	4.52958	3.80214	4.86177
SMED30009405	8.1411	8.9724	8.96029	10.5256	8.521
SMED30009415	7.24821	11.0195	17.0347	7.42733	9.15074
SMED30009421	3.64122	3.95564	4.55313	5.92315	4.69632
SMED30009425	4.11103	8.95419	8.15433	7.24389	7.6527
SMED30009426	12.433	13.7385	15.2626	14.101	14.4162
SMED30009428	4.12895	4.95517	6.46977	5.9805	6.11631
SMED30009429	6.75909	9.24731	12.634	10.694	10.5831
SMED30009430	2.07448	2.25998	2.0232	2.93227	2.60158
SMED30009438	14.56	19.9638	15.8062	12.6272	11.266
SMED30009440	47.0811	38.6486	55.3215	64.7975	53.9461
SMED30009442	40.0202	45.3848	44.9882	40.312	38.2562
SMED30009444	18.056	23.1264	23.2053	23.7833	24.654
SMED30009446	8.24487	7.18628	8.96389	12.762	9.49978
SMED30009450	13.2451	13.7539	16.3195	13.6645	13.2022
SMED30009452	5.50499	5.02081	4.94472	8.73688	7.91699
SMED30009455	9.91872	9.69484	7.27244	7.81077	7.09597
SMED30009462	13.7962	11.6131	13.3009	6.74942	8.44984
SMED30009482	11.0205	12.3729	12.7355	16.8694	13.556
SMED30009483	3.77888	3.38707	2.70489	3.04122	2.53046
SMED30009504	5.20864	5.06107	5.59442	6.89531	6.2326
SMED30009509	7.8057	7.18099	8.21364	11.852	8.48277
SMED30009510	17.452	16.5216	20.134	20.2263	18.3055
SMED30009517	38.8496	40.6659	45.1104	47.2413	43.9828
SMED30009533	5.20889	4.94622	3.72763	5.57968	5.30095
SMED30009534	10.9958	11.7093	10.0508	15.1178	12.0388
SMED30009543	17.8109	18.3949	18.2415	13.743	20.4741
SMED30009549	9.37017	10.5842	13.7886	12.6275	10.4367
SMED30009551	7.80215	7.03841	8.12057	7.73659	8.22079
SMED30009557	12.125	12.5463	13.8147	13.1316	12.8497
SMED30009565	3.42524	5.09619	5.03621	4.61904	4.58146
SMED30009566	2.64652	2.94721	3.53924	5.12236	3.94189
SMED30009590	38.4708	50.4904	54.2387	68.2332	71.2869
SMED30009596	8.43223	13.3515	16.8739	14.4474	22.6995
SMED30009616	3.63919	4.0625	3.84687	5.58609	6.19395
SMED30009618	8.63439	9.36597	9.47263	10.4506	12.3447
SMED30009630	46.1322	50.4445	62.3511	59.2419	84.1405
SMED30009648	12.0479	10.1579	13.498	19.4825	17.6964
SMED30009657	5.03632	4.74366	4.62925	4.99238	5.95752
SMED30009664	11.6917	6.33377	7.43597	18.3079	5.49282
SMED30009669	11.2282	11.0268	11.3194	18.7936	15.1383
SMED30009670	7.68555	9.90634	11.6306	12.1599	10.6092
SMED30009674	8.19979	10.4526	12.8338	7.90742	8.05757
SMED30009680	21.2152	14.6897	12.306	26.9622	18.4396
SMED30009695	7.68038	6.91503	8.01543	8.52831	6.80947
SMED30009697	8.39477	8.53089	10.0679	14.6422	11.3117
SMED30009701	12.3021	8.62909	11.9611	16.37	15.6584
SMED30009709	4.02165	4.77713	6.52588	8.07903	6.33495
SMED30009710	2.88075	3.05059	2.44137	2.83949	2.82046
SMED30009721	6.03362	6.19917	7.13477	9.00142	8.01433
SMED30009727	8.96554	8.73631	12.5007	13.1098	10.7469
SMED30009729	13.1846	25.3729	17.1068	21.795	23.1127
SMED30009735	10.759	11.9614	14.3807	12.4686	9.48764
SMED30009737	13.3902	10.895	11.0598	10.2022	9.54594
SMED30009747	13.9245	16.308	17.1063	15.1182	14.7426
SMED30009751	21.847	24.5859	26.4317	28.0687	27.419
SMED30009756	15.5557	15.0182	23.613	28.8588	24.6347
