Sample	0h	6h	3d	7d	11d
SMED30003664	0.115887	0.135983	0.0371217	0	0
SMED30003665	0.902773	0.983625	0.758122	0.853187	0.825046
SMED30003666	0.129089	0.113082	0.160983	0.116472	0.219888
SMED30003667	1.4139	1.32583	1.50236	0.997458	1.60627
SMED30003668	0.138667	0.120481	0.144959	0.102148	0.0946884
SMED30003669	1.39677	1.16072	0.735506	0.904345	1.10369
SMED30003670	8.02154	6.5233	3.03368	2.53519	2.25188
SMED30003671	0.172473	0.315865	0.664422	0.32941	0.295823
SMED30003672	200.544	185.173	198.749	252.499	280.785
SMED30003673	2.52784	2.2795	2.54515	2.46315	2.73549
SMED30003674	5.61748	6.59339	7.34637	6.07817	6.27516
SMED30003675	3.99811	3.91775	3.52142	3.46124	4.08058
SMED30003676	2302.11	2404.35	7472.49	4415.74	2016.03
SMED30003677	98.6722	110.405	104.706	104.134	91.0954
SMED30003678	0.0965085	0	0.0236848	0.0475657	0.129822
SMED30003679	0.338302	0.432445	0.402076	0.353278	0.633189
SMED30003680	26.5609	28.0594	25.0624	25.2725	26.2137
SMED30003681	30.6066	34.802	31.484	31.8902	33.1727
SMED30003682	2.09237	1.71128	2.23021	1.5539	1.8237
SMED30003683	7.17444	5.54375	7.58353	4.89802	5.65105
SMED30003684	8.64183	9.37022	11.3272	8.207	9.67816
SMED30003685	3.82017	3.42991	4.80796	3.38819	2.94099
SMED30003686	24.161	27.1586	32.1055	28.0164	22.7626
SMED30003687	67.9596	54.4497	23.0291	13.7723	12.3276
SMED30003688	0.585481	0.680896	0.735185	0.900491	1.28237
SMED30003689	0.364637	0.542814	0.493007	0.869376	0.753614
SMED30003690	3.06352	3.68013	4.70319	3.99349	3.1011
SMED30003691	0.346504	0.407143	0.48254	0.49948	0.468045
SMED30003692	0	0.143839	0.229883	0.038825	0.0352513
SMED30003693	0.279516	0.341644	0.370238	0.660115	0.462616
SMED30003694	0.839943	0.775242	1.18018	0.410696	0.647212
SMED30003695	0.197625	0.150519	0.185648	0.149473	0.169601
SMED30003696	0	0.0121534	0	0	0
SMED30003697	10.2112	10.1497	10.1904	9.10133	9.76538
SMED30003698	45.6838	43.5996	32.8851	37.4412	40.2906
SMED30003699	28.8626	30.1195	30.2276	28.6975	29.3075
SMED30003700	18.2527	21.0099	20.0887	21.936	19.3576
SMED30003701	22.8809	25.272	28.703	24.9432	23.3315
SMED30003702	0.128232	0.258872	0.251379	0.113684	0.17092
SMED30003703	1.55063	2.41238	1.9281	1.46939	1.79598
SMED30003704	34.884	32.8899	37.144	35.1872	34.8335
SMED30003705	0.262847	0.242542	0.249981	0.121682	0.1913
SMED30003706	3.23008	2.57525	0.23249	0.230789	0.228
SMED30003707	0.820931	0.741916	0.779515	0.466508	0.727953
SMED30003708	1.1873	1.05241	1.15761	1.55449	1.1381
SMED30003709	8.47944	9.15671	9.12501	9.95434	10.1753
SMED30003710	1.00323	1.03524	1.74595	2.1127	2.02101
SMED30003711	3.08133	3.21149	2.34584	2.09873	2.75755
SMED30003712	0.529742	0.71677	0.989978	0.835394	0.711036
SMED30003713	0	0	0	0	0
SMED30003714	6.74677	8.5997	8.02641	6.04421	6.3485
SMED30003715	2.64465	2.05917	0.164474	0.0869505	0.0978467
SMED30003716	85.4319	83.2594	71.5517	75.0237	75.6198
SMED30003717	8.73193	9.77696	10.5773	10.283	9.23179
SMED30003718	1.50534	2.19049	2.4608	1.8777	2.29793
SMED30003719	0.100813	0.147748	0.132149	0.0245083	0.0319851
SMED30003720	0	0	0	0.00965973	0
SMED30003721	8.07877	7.8028	6.21614	10.5548	9.76068
SMED30003722	25.596	25.1845	23.6745	23.0393	23.3221
SMED30003723	1.24079	1.0078	0.33923	0.244029	0.357993
SMED30003724	12.5499	12.5354	11.0955	12.803	14.2083
SMED30003725	1.09025	1.98835	1.16314	1.7802	1.53859
SMED30003726	2.26853	2.18975	2.94735	1.54396	1.94104
SMED30003727	0.620647	0.662084	0.729227	0.635853	0.876502
SMED30003728	1.41682	1.03537	1.04008	2.24812	2.54866
SMED30003729	15.227	14.5648	18.0065	17.8913	19.4552
SMED30003730	17.0615	17.6402	18.987	18.3839	16.8182
SMED30003731	0.493599	0.631618	1.58975	1.33811	1.08057
SMED30003732	1.07731	0.93306	0.833617	1.15343	1.03716
SMED30003733	7.40313	7.24175	16.2477	20.6176	16.1273
SMED30003734	0.030966	0.0110689	0.0209436	0.0079285	0.0295248
SMED30003735	0.203758	0.232761	0.399078	0.374713	0.246127
SMED30003736	16.2711	16.8103	21.5354	25.1618	22.4796
SMED30003737	0.302675	0.0941603	0.105655	0.368087	0.417352
SMED30003738	16.4281	53.9318	104.31	13.9607	15.4783
SMED30003739	1.2321	0.866044	0.71029	0.98402	1.49325
SMED30003740	0.242193	0.215522	0.3329	0.201897	0.176615
SMED30003741	59.5405	59.3574	72.8286	70.8436	70.4287
SMED30003742	4.05454	3.45705	5.25018	5.69029	5.919
SMED30003743	0	0.0373357	0	0	0.0568183
SMED30003744	0.244166	0.289523	0.183811	0.31041	0.229457
SMED30003745	0.184166	0.0769857	0.147437	0.169387	0.235395
SMED30003746	0.147334	0.138691	0.125737	0.13143	0.152223
SMED30003747	1.10693	0.993123	1.20185	1.78192	1.5374
SMED30003748	5.41325	5.84975	6.45516	7.39614	6.41207
SMED30003749	0.665237	0.414409	0.664644	0.631277	0.890858
SMED30003750	1.65601	1.92827	2.23095	3.13941	3.14188
SMED30003751	0.134742	0.130504	0.0857441	0.186011	0.178473
SMED30003752	3.59638	3.39165	3.66498	3.20297	2.94892
SMED30003753	0.160899	0.11526	0.0596587	0.0941486	0.0739104
SMED30003754	0.0866932	0.10428	0.181669	0.130065	0.128982
SMED30003755	0.0323454	0	0.304092	0.0354322	0.0375877
SMED30003756	8.81784	7.53329	0.963725	0.424325	0.349852
SMED30003757	0.116906	0.168423	0.175418	0.12675	0.283222
SMED30003758	1.01898	1.52246	1.59601	1.92424	1.46514
SMED30003759	0.159571	0.10858	0.0820076	0.186301	0.115706
SMED30003760	0	0	0	0	0
SMED30003761	0.973735	0.671692	1.32107	0.84367	1.25578
SMED30003762	49.7683	49.8602	49.8212	49.2079	49.1715
SMED30003763	0.468176	0.44294	0.720106	0.518571	0.496829
SMED30003764	18.6909	17.8643	27.5568	23.486	21.227
SMED30003765	25.9521	28.1988	27.1076	27.7563	27.5322
SMED30003766	0.313641	0.410123	0.518835	0.57744	0.450976
SMED30003767	0.254191	0.163109	0.205818	0.117381	0.166031
SMED30003768	4.85046	4.90502	2.5165	2.24091	1.96558
SMED30003769	9.57277	18.1741	11.9575	12.8297	10.8654
SMED30003770	18.9529	20.8913	19.8434	13.7805	16.9023
SMED30003771	18.4754	17.0463	17.2537	16.9743	18.7299
