Sample	0h	6h	12h	1d	2d	3d	5d	7d	9d	11d
SMED30014406	0.338482	0.290754	0.244415	0.327756	0.330325	0.149226	0.233422	0.370149	0.20604	0.292266
SMED30014407	6.54734	6.73527	7.7843	7.50191	7.43051	6.52999	8.67437	9.1351	11.1782	9.22509
SMED30014408	10.8314	12.6575	8.65668	9.50753	12.4204	12.6311	11.3398	11.3585	11.1019	12.3997
SMED30014409	3.49544	3.19501	3.68913	1.56735	0.247607	0.250371	0.244805	0.0937851	0.231617	0.0894282
SMED30014410	1.82974	2.14553	1.71689	1.70952	1.81652	2.26407	1.85558	2.00376	1.72376	1.96486
SMED30014411	0.159838	0.169656	0.120948	0.0537413	0.0365787	0.196119	0.100499	0.180534	0.0916284	0.198257
SMED30014412	0.142743	0.143013	0.133464	0.190682	0.142077	0.104657	0.177748	0.569715	0.110117	0.184283
SMED30014413	84.4669	86.2262	86.5369	93.2406	105.458	99.9085	96.0829	92.0926	90.9493	93.8274
SMED30014414	4.2985	3.5263	2.80747	0.878161	0.539067	0.67695	0.299834	0.380048	0.253068	0.338861
SMED30014415	80.9625	82.7879	91.1094	95.0585	100.769	116.603	114.78	75.8049	96.7501	81.57
SMED30014416	17.9057	15.9932	6.71284	3.52832	2.2096	24.4468	3.62527	11.3358	1.84666	12.4235
SMED30014417	8.39522	8.71718	10.0166	12.8312	13.0866	10.6077	11.4893	10.2913	10.1484	10.1544
SMED30014418	0	0	0	0	0	0	0	0	0	0
SMED30014419	0.962356	0.653902	0.610542	0.477737	0.510253	0.733494	0.28643	0.745325	0.276411	0.7163
SMED30014420	0	0	0	0	0.0224811	0.0420483	0	0	0	0
SMED30014421	0.631404	0.540285	0.578005	0.721431	1.01804	1.1155	1.36214	1.14357	1.04758	0.985154
SMED30014422	0.883483	1.40328	0.989876	0.934054	1.2201	1.87556	1.20118	1.71343	1.40621	1.47432
SMED30014423	1.36547	1.12371	0.857648	0.741114	0.911482	1.33028	0.861275	1.03991	0.70833	0.764417
SMED30014424	0.290195	0.341556	0.273272	0.17545	0.344281	0.439724	0.249394	0.173027	0.268805	0.323547
SMED30014425	0.571238	0.413833	0.249382	0.332683	0.300053	0.456947	0.40531	0.467378	0.528177	0.361848
SMED30014426	0.783245	0.628633	0.664082	0.637186	0.534795	0.867415	0.536851	0.723845	0.466338	0.737228
SMED30014427	9.43917	9.23664	12.4083	13.8377	14.2619	14.2148	16.0076	16.2207	14.5722	13.0516
SMED30014428	1.9763	2.02787	1.38368	1.50239	2.11949	2.47818	3.00733	3.24365	3.34264	3.60536
SMED30014429	18.986	20.2121	22.5016	23.2773	21.8989	20.214	20.0305	18.4178	17.624	17.5358
SMED30014430	5.63571	5.68859	4.76336	5.39848	7.68513	7.45907	7.93906	8.49989	7.96624	8.03953
SMED30014431	2.83486	2.70541	3.00025	0.894821	0.103028	0.17366	0.121183	0.194614	0.2084	0.175293
SMED30014432	9.6566	10.5626	14.6759	15.8054	14.5724	13.0643	12.9168	10.9502	11.6279	11.202
SMED30014433	1.15529	1.11104	0.63023	1.32888	1.13087	1.91033	1.53101	1.07831	1.578	1.81872
SMED30014434	0.732037	0.838915	0.415117	0.433296	0.539817	0.921298	0.575833	0.973371	0.409736	0.749673
SMED30014435	4.07857	4.09927	3.19319	2.95802	3.21399	4.27693	3.37924	3.51622	2.90891	3.75883
SMED30014436	14.9545	12.2253	6.6903	5.16793	2.84413	3.18506	4.98352	6.53673	7.17088	7.05646
SMED30014437	22.1757	26.3893	29.5297	29.2111	27.8746	25.9461	25.5318	20.5153	21.8538	20.7558
SMED30014438	73.5663	91.1066	112.836	124.32	92.7886	95.5962	166.525	121.217	100.226	181.922
SMED30014439	23.9886	23.1018	19.3544	21.8834	23.2811	27.5655	29.6298	29.0295	26.6858	29.1074
SMED30014440	21.5201	22.4979	14.9942	15.3986	18.4419	23.1818	15.8906	16.9705	13.9332	18.4296
SMED30014441	25.928	29.9842	17.2356	17.5726	15.1214	33.8122	19.8401	20.8956	15.5228	22.0081
SMED30014442	2.44884	2.83957	2.20368	2.50254	2.28633	2.82867	2.50078	2.60222	2.59002	2.89706
SMED30014443	18.0538	18.5513	23.1638	25.8857	26.8922	20.0613	20.8991	17.4101	17.8895	18.3088
SMED30014444	1.93667	2.1157	1.82171	2.71065	3.60306	2.96969	3.41613	3.13771	3.31038	2.45774
SMED30014445	0.0231285	0.0789223	0.0740726	0	0.0120206	0.013139	0.0305617	0.0214672	0.00974527	0.0800999
