p_val avg_logFC pct.1 pct.2 p_val_adj
SMED30001801 9.96178677450344e-43 -0.286634999527381 0.475 0.592 2.18342442523566e-38
SMED30006792 5.54010306072197e-42 0.262852438709573 0.307 0.19 1.21427978884904e-37
SMED30012282 1.73661583946278e-41 0.240857123318879 0.258 0.149 3.80631459693452e-37
SMED30001215 3.20030489396287e-41 0.134988254404209 0.061 0.01 7.01442826658782e-37
SMED30014511 1.75757570397665e-40 0.182848679057707 0.152 0.067 3.85225442797603e-36
SMED30014223 1.98815767395491e-39 0.267646716225296 0.279 0.17 4.35764398977438e-35
SMED30018158 3.00404500461853e-39 0.103873874338082 0.05 0.006 6.58426584112289e-35
SMED30007938 4.11951912066755e-39 0.31815472533577 0.503 0.395 9.02916200867915e-35
SMED30027385 6.25337174598207e-39 -0.134053840266974 0.999 0.999 1.37061401928435e-34
SMED30000129 7.10386930402986e-38 0.0973901715964604 0.052 0.007 1.55702607405726e-33
SMED30027552 9.300225932619e-38 0.0971903642641924 0.045 0.004 2.03842351991143e-33
SMED30005141 3.14510131383793e-37 0.253157432059958 0.162 0.078 6.89343305966998e-33
SMED30036014 5.39830451888669e-37 0.110673956092473 0.034 0 1.18320038444959e-32
SMED30034381 6.29198538378492e-37 -0.278936791630579 0.631 0.716 1.37907735641798e-32
SMED30011705 1.31846260577588e-36 0.148561067171172 0.079 0.022 2.88980633933957e-32
SMED30031625 2.54998075179383e-35 -0.350562165556665 0.775 0.81 5.58904781178172e-31
SMED30002503 2.86428875221765e-35 0.274503299070327 0.133 0.058 6.27794808711064e-31
SMED30017762 3.20823822355787e-35 0.265954248313205 0.054 0.009 7.03181653839413e-31
SMED30012836 1.62530817929359e-34 0.227948079842774 0.305 0.199 3.56235046737568e-30
SMED30016871 1.52844854666369e-33 0.102369890158959 0.051 0.008 3.35005352457748e-29
SMED30008485 1.55184289933693e-33 0.207848956874206 0.237 0.144 3.40132926676668e-29
SMED30020082 1.55963266456125e-33 0.247980548254952 0.276 0.177 3.41840287418535e-29
