p_val avg_logFC pct.1 pct.2 p_val_adj
SMED30026770 4.12958755715221e-97 0.108501013808023 0.232 0.138 9.05123000776622e-93
SMED30035906 9.75025526886524e-97 -0.13320851545639 0.181 0.28 2.13706094982988e-92
SMED30008349 1.0916575453126e-96 0.115085450429805 0.114 0.05 2.39269500781615e-92
SMED30035360 2.26071903999322e-96 -0.100857288191591 0.983 0.983 4.95504399185713e-92
SMED30032349 3.16916735814626e-96 -0.104000862624439 0.074 0.148 6.94618101558497e-92
SMED30011519 5.01831913044738e-96 -0.17308234290821 0.646 0.701 1.09991518701146e-91
SMED30017854 1.32414218243668e-95 0.0375924731266088 0.033 0.002 2.90225483546471e-91
SMED30018465 1.47231286065925e-95 -0.136204176485319 0.147 0.24 3.22701532799293e-91
SMED30013233 2.33990509647149e-95 -0.0878685856829793 0.994 0.995 5.1286039904462e-91
SMED30034946 5.46213308303959e-95 0.17189704325883 0.394 0.278 1.19719032914062e-90
SMED30015376 7.34010928910022e-95 -0.140123955825063 0.207 0.302 1.60880515398499e-90
SMED30024560 1.09577681596725e-94 0.100697978250935 0.229 0.137 2.40172362523701e-90
SMED30022144 6.01547466492987e-94 0.189310775767623 0.425 0.321 1.31847173705933e-89
SMED30002734 6.0623947847138e-94 0.0490898508907298 0.043 0.007 1.32875568891357e-89
SMED30029070 2.39541291773874e-93 0.139162995148201 0.239 0.146 5.25026603309977e-89
SMED30014307 5.36690938170078e-93 0.16974986450422 0.395 0.287 1.17631919828118e-88
SMED30031780 7.0781193487561e-93 0.141753075492813 0.568 0.457 1.55138219886036e-88
SMED30025098 8.75122442615008e-93 0.148652603946345 0.784 0.731 1.91809336972358e-88
SMED30003919 1.28789541191439e-92 0.0598679583989402 0.034 0.003 2.82280916383396e-88
SMED30002377 1.66157335305835e-92 0.0649116369302186 0.062 0.017 3.64183647523329e-88
SMED30034666 2.55444327105838e-92 0.105859592607805 0.298 0.197 5.59882876150576e-88
SMED30018534 3.32303216374055e-92 0.0826283222627704 0.16 0.084 7.28342189648653e-88
SMED30015300 5.59916307426017e-92 0.129359528068236 0.894 0.861 1.22722456261634e-87
SMED30000316 9.26193135266834e-92 0.201258647699486 0.352 0.251 2.03003011387785e-87
SMED30011720 1.12817962957151e-91 -0.112644147028755 0.113 0.194 2.47274411209483e-87
SMED30026948 1.19376878128113e-91 0.0913552219416466 0.231 0.139 2.61650241481198e-87
SMED30005465 2.28239155255025e-91 0.134286718717304 0.378 0.27 5.00254580487964e-87
SMED30034045 2.37561498834994e-91 0.123003973141899 0.37 0.261 5.2068729314654e-87
SMED30029780 2.53161853162196e-91 0.125136414872779 0.293 0.196 5.54880149760901e-87
SMED30016165 1.74465623401407e-90 0.151056387377001 0.626 0.536 3.82393753371204e-86
SMED30035287 4.96819478248744e-90 0.136527492339969 0.357 0.256 1.0889289324256e-85
SMED30009120 5.81193045560932e-90 -0.144468281938829 0.089 0.164 1.27385891726045e-85
SMED30024424 1.55586816523565e-89 0.138787148786201 0.578 0.479 3.4101518445635e-85
SMED30032110 3.16489282596855e-89 -0.113467317061934 0.91 0.931 6.93681209595788e-85
SMED30022312 3.44077580907283e-89 0.0495086876390989 0.069 0.022 7.54149241832582e-85
SMED30021887 3.69223145867606e-89 0.0676187118964742 0.117 0.053 8.09263291112619e-85
SMED30023391 4.42374447845822e-89 0.163300599178166 0.304 0.204 9.69596314788473e-85
SMED30012081 4.6231491322987e-89 0.144313320011008 0.43 0.326 1.01330182681723e-84
SMED30016193 6.91655600398473e-88 0.152815083947528 0.582 0.486 1.51597074495337e-83
SMED30032696 8.33442767217044e-88 -0.123875519579448 0.842 0.862 1.82673985718632e-83
SMED30026747 1.2910227240875e-87 -0.178907204503415 0.292 0.387 2.82966360665497e-83
SMED30023108 1.98865149843663e-87 -0.0734561433300133 0.039 0.096 4.3587263542734e-83
SMED30028758 2.53022159324621e-87 0.100568904009761 0.257 0.165 5.54573968807704e-83
SMED30032780 3.17641773804283e-86 0.057556870536158 0.089 0.035 6.96207239824227e-82
SMED30025738 3.4574018931561e-86 0.133530003736587 0.91 0.894 7.57793346941953e-82
SMED30028501 3.83119123192213e-86 0.128562006369274 0.427 0.319 8.39720494212692e-82
SMED30009514 5.11044267013568e-86 0.155034923683947 0.783 0.699 1.12010682444034e-81
SMED30014223 7.75132149848574e-86 0.1663576772403 0.402 0.305 1.6989346460381e-81
SMED30032979 1.34286175301821e-85 0.109177012787779 0.286 0.19 2.9432843902653e-81
SMED30018702 5.62121608954716e-85 -0.137616861166166 0.829 0.867 1.23205814250695e-80
SMED30022273 1.4528532505624e-84 -0.161622180462259 0.465 0.543 3.18436375458266e-80
SMED30031236 6.76146449772295e-84 -0.0880217895684093 0.084 0.154 1.48197778861092e-79
SMED30012876 1.54261765611625e-83 0.116700028430524 0.319 0.218 3.38110937867561e-79
SMED30016082 5.31733494335823e-83 0.190761921923857 0.497 0.404 1.16545347288526e-78
SMED30022703 6.37340916904416e-83 0.148057631061417 0.512 0.415 1.3969238216711e-78
SMED30007725 8.31292120004476e-83 0.0929512391488359 0.133 0.067 1.82202606862581e-78
SMED30027627 9.67606343221492e-83 0.0673284476457515 0.078 0.029 2.12079958307287e-78
SMED30031308 1.10034525372705e-82 0.0676337886388758 1 1 2.41173672711895e-78
SMED30010375 1.22858182897649e-82 0.0715656700101182 0.999 1 2.69280565275068e-78
SMED30014894 1.26734902810798e-82 -0.0866928120737972 0.048 0.106 2.77777559980708e-78
SMED30033967 4.92277617010943e-82 0.11607028182802 0.355 0.255 1.07897408096458e-77
SMED30030357 5.59176073698127e-82 -0.118181912425504 0.154 0.238 1.22560211833156e-77
SMED30020925 1.31192218328341e-81 -0.124552655451383 0.817 0.851 2.87547104132058e-77
SMED30030464 3.22457663453181e-81 0.0678006736858268 0.07 0.024 7.06762706756682e-77
SMED30024084 3.53579665152287e-81 0.0529944953573016 0.05 0.012 7.74975910080782e-77
SMED30015375 3.53775948265563e-81 0.121099066424963 0.307 0.212 7.75406123408462e-77
SMED30032188 4.70734769500835e-81 0.0349302313264785 0.03 0.003 1.03175646779193e-76
SMED30018542 7.81619019382804e-81 0.165277887022435 0.745 0.679 1.71315256668323e-76
SMED30031771 1.47347571367757e-80 -0.154265058992534 0.644 0.698 3.22956406923851e-76
SMED30028723 4.92823737515332e-80 0.0541512927742786 0.03 0.003 1.0801710678861e-75
SMED30004128 5.48924838208794e-80 0.052495875305193 0.054 0.015 1.20313346038603e-75
