p_val avg_logFC pct.1 pct.2 p_val_adj
SMED30027385 1.78211423211631e-75 -0.132057149038867 0.999 1 3.90603797395253e-71
SMED30034254 1.26214587807603e-74 -0.217003476304684 0.795 0.863 2.76637133556705e-70
SMED30004739 3.84493015923525e-73 0.32385984652448 0.155 0.07 8.42731792301182e-69
SMED30029746 4.61885865489839e-72 0.345681993648765 0.373 0.261 1.01236143998063e-67
SMED30005965 2.42152790405486e-71 0.381842299050172 0.505 0.402 5.30750486010744e-67
SMED30001563 3.83310344623406e-70 -0.253406946282265 0.378 0.505 8.40139613345582e-66
SMED30008553 1.3138439676125e-68 -0.305333075081756 0.471 0.591 2.87968320821308e-64
SMED30026182 2.90268749470087e-67 -0.254309838226831 0.274 0.4 6.36211045088538e-63
SMED30028453 3.77947838550127e-66 0.13421138559866 0.04 0.003 8.28386072534168e-62
SMED30009120 4.41224513256238e-66 -0.221738520981876 0.2 0.321 9.67075888155022e-62
SMED30019754 1.025840464977e-65 -0.240344762147459 0.324 0.453 2.24843713113659e-61
SMED30005368 4.5893228512518e-65 0.443772347085911 0.24 0.143 1.00588778253737e-60
SMED30018961 5.39975252122429e-65 0.339856873735261 0.513 0.409 1.18351775760194e-60
SMED30020082 1.89925245248016e-64 0.302873083600906 0.258 0.158 4.16278152534602e-60
SMED30036016 1.95611349197044e-64 -0.233032674141646 0.487 0.615 4.28740955170082e-60
SMED30021105 2.32678753801781e-63 -0.239240857692424 0.912 0.941 5.09985292582743e-59
SMED30007938 4.25356056881863e-63 0.321117322136283 0.462 0.363 9.32295405473667e-59
SMED30001215 4.62486162785612e-63 0.163118805149934 0.061 0.013 1.0136771715935e-58
SMED30028576 2.95690646963036e-62 -0.218107428225095 0.482 0.61 6.48094760013583e-58
SMED30000559 3.59855582654439e-62 0.312246810621892 0.552 0.459 7.88731466061999e-58
SMED30025868 3.90394473768727e-60 0.334669424981666 0.473 0.372 8.55666607606297e-56
SMED30023331 9.25097097749714e-60 0.266982860210533 0.754 0.696 2.02762781884782e-55
SMED30020470 1.29509949860045e-59 -0.212939769231661 0.494 0.607 2.83859908103248e-55
SMED30018158 5.14446690748751e-59 0.124855890186822 0.047 0.007 1.12756425678311e-54
SMED30003997 9.06196810966313e-57 -0.224141444071775 0.446 0.561 1.98620217027596e-52
SMED30013107 4.55233713719266e-56 -0.240269052236043 0.622 0.709 9.97781253729888e-52
SMED30010777 5.72110645590902e-56 -0.219802805016158 0.501 0.618 1.25395211300614e-51
SMED30005644 1.77086623824579e-55 0.146943184536461 0.053 0.012 3.88138462098712e-51
SMED30014469 2.35802139419013e-55 -0.194678042776145 0.44 0.562 5.16831129178593e-51
SMED30028242 4.95005152209649e-55 0.264349781062515 0.214 0.128 1.08495229261311e-50
SMED30007769 1.20461278888617e-54 0.182826303926945 0.074 0.024 2.6402703106807e-50
SMED30015427 2.1442122732895e-54 -0.217793432445281 0.632 0.729 4.69968446059593e-50
SMED30006293 1.31860370195643e-53 0.289742380470699 0.15 0.078 2.89011559394811e-49
SMED30022274 2.04699902243264e-53 0.132771431800032 0.05 0.01 4.48661245736785e-49
SMED30026747 8.29742155333359e-53 -0.21129134013564 0.299 0.416 1.81862885605966e-48
SMED30031308 9.33137107535863e-53 0.146561705683696 0.999 1 2.04524991229711e-48
