p_val avg_logFC pct.1 pct.2 p_val_adj
SMED30009120 3.57604395894183e-35 -0.247960164580607 0.173 0.309 7.83797314920871e-31
SMED30020036 8.08704301825023e-35 0.200842144894338 0.131 0.039 1.77251808874009e-30
SMED30020470 8.11552497509075e-35 -0.288457495495533 0.59 0.692 1.77876076404039e-30
SMED30015300 9.99636525807488e-35 0.248444525404823 0.769 0.687 2.19100333726485e-30
SMED30027385 2.35084297267054e-34 -0.152081629042311 0.999 1 5.15257762749928e-30
SMED30019754 5.31384446468533e-34 -0.248186799599256 0.34 0.487 1.16468842976973e-29
SMED30029179 5.81054089625939e-34 0.352415659162797 0.546 0.416 1.27355435364213e-29
SMED30026182 7.43416305271998e-34 -0.275236998316375 0.278 0.421 1.62941985789517e-29
SMED30008485 1.34424453121093e-33 0.25818548460808 0.365 0.233 2.94631516350812e-29
SMED30014118 1.3608577690124e-33 0.277836650430761 0.245 0.121 2.98272805812137e-29
SMED30032349 1.67964328318895e-33 -0.190266096225777 0.139 0.266 3.68144214809355e-29
SMED30019874 3.16795263578139e-33 -0.268344093282761 0.461 0.599 6.94351858710565e-29
SMED30029274 3.47172034489334e-33 0.3465858464272 0.399 0.273 7.60931665193723e-29
SMED30013135 5.13408706175015e-33 0.264706889071435 0.42 0.28 1.1252892021944e-28
SMED30035950 7.00525597894592e-33 0.107246572333567 0.068 0.006 1.53541200546537e-28
SMED30001192 9.17978550529774e-33 0.260118645943515 0.578 0.456 2.01202538705116e-28
SMED30023604 1.00376160083298e-32 0.117641935231184 0.074 0.009 2.20004467670572e-28
SMED30015755 1.13354407942052e-32 0.198370969636711 0.224 0.106 2.48450191327389e-28
SMED30016328 1.14919892334104e-32 0.115390501524297 0.061 0.003 2.5188142001789e-28
SMED30020243 1.48236811885905e-32 0.261563065161869 0.549 0.417 3.24905444291526e-28
SMED30022501 3.7282297065304e-32 -0.228705493543923 0.671 0.754 8.17153387077333e-28
SMED30003090 9.94718067055368e-32 -0.252590888362763 0.374 0.51 2.18022305937196e-27
SMED30032227 1.04970228174872e-30 0.11314860581964 0.066 0.007 2.30073746113684e-26
SMED30028672 1.69511683351628e-30 0.117560278609334 0.079 0.013 3.71535707570099e-26
SMED30000193 1.95004712303706e-30 -0.184191797777432 0.079 0.179 4.27411328427263e-26
SMED30020813 2.75939452200254e-30 -0.172715101460188 0.137 0.255 6.04804091332516e-26
SMED30028497 4.49563207243965e-30 -0.343308446901005 0.52 0.612 9.85352637637322e-26
SMED30002351 1.2805373878086e-29 -0.293871242638262 0.317 0.456 2.80668184659888e-25
SMED30001801 1.69150006785277e-29 -0.24794442854042 0.521 0.623 3.7074298487197e-25
SMED30008695 2.56945077642232e-29 0.213090156359421 0.822 0.766 5.63172221176243e-25
SMED30032696 3.35300353677793e-29 -0.197535109101429 0.776 0.828 7.34911315190986e-25
SMED30030582 3.67443518887933e-29 0.192867347730404 0.166 0.07 8.05362704698571e-25
SMED30021495 4.00938394834191e-29 0.120375522877828 0.087 0.019 8.78776773797581e-25
SMED30033139 5.83171349064546e-29 -0.170467410248151 0.923 0.956 1.27819496287967e-24
SMED30010375 8.7130161125322e-29 0.137067722487584 0.998 1 1.90971887154481e-24
SMED30005922 1.13034429880625e-28 0.103651366305616 0.064 0.008 2.47748863412354e-24
SMED30017620 1.50298422233696e-28 0.0959448129533285 0.07 0.01 3.29424081851814e-24
SMED30018961 3.41443975059585e-28 0.339492662356321 0.537 0.419 7.48376904535598e-24
SMED30024698 1.4659645116951e-27 0.213866793070347 0.455 0.321 3.21310101673333e-23
SMED30019886 2.86744162758901e-27 0.287823829184882 0.469 0.351 6.28485855934959e-23
SMED30022992 3.11048917846322e-27 0.243272318637597 0.809 0.749 6.81757018135568e-23
