Sample	0h	6h	3d	7d	11d
SMED30024383	2.64629	2.66802	2.90609	2.70131	3.27313
SMED30024395	69.9655	67.7976	85.0625	89.701	96.2456
SMED30024399	0	0.0477083	0.0771102	0	0.0263869
SMED30024405	0.113848	0.0222248	0	0.0143615	0.0176945
SMED30024409	1.24552	1.52816	1.37009	1.54841	1.57539
SMED30024411	46.1757	46.284	59.5724	68.1948	66.4421
SMED30024423	13.9936	12.9094	14.4701	15.7659	14.6495
SMED30024428	11.6442	12.569	8.62503	7.59285	7.10018
SMED30024432	5.44973	5.52895	7.69957	6.3529	6.55285
SMED30024436	4.13832	3.70828	3.47747	3.46805	4.06472
SMED30024437	0.0581163	0.0369574	0.0595669	0.0309938	0.0147578
SMED30024440	1.49078	1.19497	1.63043	2.02089	1.79624
SMED30024478	9.82649	8.42505	7.45739	6.66248	5.84112
SMED30024503	65.618	54.8602	48.8576	36.7915	26.6767
SMED30024509	3.14383	3.14552	3.38237	3.27681	3.31331
SMED30024518	0.0664103	0.0791103	0.082918	0.0709358	0.0997326
SMED30024524	0.238103	0.286358	0.30259	0.235985	0.266618
SMED30024527	211.635	201.673	182.339	187.991	196.873
SMED30024531	0.208947	0.102107	0.0874753	0.0354716	0.0462295
SMED30024535	0.233853	0.115932	0.0634606	0.019522	0.0766297
SMED30024548	0.22389	0.355765	0.321697	0.252121	0.14473
SMED30024552	0.0102593	0.00598487	0.00318928	0.0083441	0.00536843
SMED30024557	2.20242	2.22532	2.02912	2.39809	3.07877
SMED30024560	16.5306	17.5219	21.3426	23.7576	26.0896
SMED30024562	2.34993	2.23084	2.01154	2.04089	1.97884
SMED30024563	0.269112	0.349112	0.674194	0.813528	1.06556
SMED30024568	2.00785	2.1127	2.78343	3.09506	3.56619
SMED30024582	3.41478	2.6233	2.7678	3.32964	3.2253
SMED30024584	0.571839	0.513228	0.502923	0.321912	0.148814
SMED30024587	9.40875	7.61229	8.91103	9.91933	10.9994
SMED30024590	77.5275	75.1395	73.0183	77.5951	81.0557
SMED30024606	0.321404	0.179087	0.0694203	0.125527	0.0502202
SMED30024609	0	0.0326469	0.0372705	0.0455764	0.068972
SMED30024653	80.7257	84.9086	97.0612	105.702	97.1103
SMED30024654	1.55688	1.43343	1.58076	1.72415	1.53803
SMED30024665	534.371	529.712	558.734	545.458	502.987
SMED30024666	2.28645	2.25682	1.76179	1.77106	1.7873
SMED30024675	17.2791	16.6753	18.8062	23.8411	28.9462
SMED30024681	12.5262	12.4475	13.3372	15.1546	14.9195
SMED30024685	1.11871	1.18963	1.7019	2.39962	2.41941
SMED30024694	2.78149	2.18231	2.52133	1.84646	1.33103
SMED30024725	132.973	127.886	142.847	171.018	177.898
SMED30024733	0.337196	0.295092	0.509457	0.241177	0.287094
SMED30024736	18.0556	18.2682	18.0424	21.2467	19.7987
SMED30024742	0.262853	0.264387	0.298212	0.317987	0.273048
SMED30024744	1.47312	1.54581	2.11683	2.20006	2.49745
SMED30024747	0.319837	0.239807	0.197822	0.134189	0.0499107
SMED30024757	0.136605	0.274236	0.260456	0.318318	0.338219
SMED30024759	8.1131	8.26356	10.1526	12.2457	12.3767
SMED30024772	0.617326	0.656468	0.797105	0.826388	0.544687
SMED30024775	57.9277	48.2295	86.8373	122.132	137.056
SMED30024784	0.613541	0.439628	0.721892	0.871649	0.836985
SMED30024788	0.211907	0.292203	0.232213	0.162289	0.12511
SMED30024802	1.2376	0.890608	1.05858	0.628956	0.50252
SMED30024803	0.450919	0.262084	0.51066	0.713605	0.705915
SMED30024809	25.4994	25.8396	23.1338	17.867	15.3802
SMED30024814	0.32505	0.162245	0.151218	0.027419	0.00928437
