p_val avg_logFC pct.1 pct.2 p_val_adj
SMED30017367 1.42811997015745e-37 -0.119527611303675 0.199 0.285 3.1301533505911e-33
SMED30001271 2.44896354682416e-37 0.200491258782091 0.673 0.648 5.36763830192919e-33
SMED30023108 2.7612351540324e-37 -0.0711305594540726 0.049 0.099 6.05207521060821e-33
SMED30025738 4.11537668450328e-37 0.134575641316294 0.87 0.85 9.0200826170943e-33
SMED30020249 5.32897708399794e-37 -0.0945003368996681 0.14 0.214 1.16800519727067e-32
SMED30020243 5.78981743910048e-37 0.149882413415491 0.48 0.405 1.26901218630204e-32
SMED30026656 1.62736479177375e-36 0.129478143902235 0.89 0.869 3.56685815060971e-32
SMED30023884 5.137714315147e-36 0.107694220589982 0.144 0.086 1.12608422359392e-31
SMED30014530 5.30788369638002e-36 -0.112766154278675 0.348 0.442 1.16338194857257e-31
SMED30011202 5.97371057060573e-36 0.101100243312243 0.19 0.124 1.30931788286536e-31
SMED30018542 6.05547883163477e-36 0.176983398350985 0.538 0.478 1.32723985031771e-31
SMED30010124 7.2852510914301e-36 -0.157324017629557 0.689 0.725 1.59678133421965e-31
SMED30029571 7.44298301429268e-36 -0.117091286907008 0.233 0.321 1.63135301707267e-31
SMED30029971 9.77258940391756e-36 0.140285879446265 0.262 0.19 2.14195614555065e-31
SMED30010412 9.85766456605159e-36 -0.115001495940406 0.302 0.386 2.16060291958719e-31
SMED30007096 2.03776944718508e-35 -0.109931604123531 0.26 0.345 4.46638307434025e-31
SMED30015934 2.78762599397997e-35 -0.130490020109113 0.345 0.425 6.10991865360529e-31
SMED30032767 2.97087620919281e-35 0.0880305949733486 0.105 0.055 6.5115664753088e-31
SMED30022969 4.20641980142919e-35 0.0642202758241155 0.06 0.024 9.21963092077251e-31
SMED30032456 5.05024774183442e-35 -0.206941606027547 0.438 0.514 1.10691330005527e-30
SMED30024529 1.46250691123925e-34 0.141977507640788 0.396 0.319 3.20552264805418e-30
SMED30005457 1.52464578588952e-34 0.144312877611806 0.023 0.059 3.34171863351265e-30
SMED30015942 1.76188219937699e-34 0.133699748742691 0.79 0.766 3.86169340459449e-30
SMED30005609 1.7684923432845e-34 0.172554932100763 0.182 0.118 3.87618151801097e-30
SMED30031065 2.98135514637109e-34 -0.12477445215153 0.52 0.607 6.53453420981617e-30
SMED30008172 3.58229718931438e-34 -0.128196317126483 0.264 0.347 7.85167897953926e-30
SMED30004009 7.36870681270371e-34 0.15573654748505 0.523 0.462 1.6150731592084e-29
SMED30030461 1.08996432591713e-33 -0.026240959546374 0.025 0.004 2.38898380954517e-29
SMED30013645 1.25936211904526e-33 -0.110135828417012 0.235 0.316 2.76026989252339e-29
SMED30013107 2.16510951646524e-33 -0.129976088029937 0.842 0.872 4.74548703818852e-29
SMED30006920 2.80295984429699e-33 0.0451816320283902 0.015 0 6.14352738673014e-29
SMED30006794 3.32461453461964e-33 -0.0786715438112483 0.109 0.172 7.28689013697934e-29
SMED30020257 3.38725295213018e-33 -0.202070112339679 0.458 0.536 7.42418102047892e-29
SMED30003586 5.14283033757385e-33 -0.157128613349862 0.357 0.431 1.12720555338944e-28
SMED30025935 8.69237720001659e-33 0.0239124003085297 0.019 0.001 1.90519523469964e-28
